ZEIT_LANG  ,ZEIT_CODE ,RAUM_LANG                                                     ,RAUM_CODE ,BEW     ,Datenstatus
1762-12-31 ,Z31121762 ,Kreis 1 (Stadtgebiet vor 1893)                                ,R10000    ,11452.0 ,Definitiv
1948-12-31 ,Z31121948 ,Kreis 6 (ab 1934)                                             ,R01200    ,48153.0 ,Definitiv
2019-12-31 ,Z31122019 ,Kreis 7 (ab 1934)                                             ,R01300    ,38584.0 ,Veröffentlicht
1971-12-31 ,Z31121971 ,Kreis 5 (ab 1915)                                             ,R00800    ,12833.0 ,Definitiv
1978-12-31 ,Z31121978 ,Kreis 4 (ab 1915)                                             ,R00700    ,28724.0 ,Definitiv
1941-12-31 ,Z31121941 ,Kreis 4 (ab 1915)                                             ,R00700    ,43736.0 ,Definitiv
2007-12-31 ,Z31122007 ,Kreis 8 (ab 1915)                                             ,R01100    ,15431.0 ,Definitiv
2023-12-31 ,Z31122023 ,Kreis 5 (ab 1915)                                             ,R00800    ,15874.0 ,Provisorisch
1905-12-31 ,Z31121905 ,Kreis III (1893-1914)                                         ,R00300    ,69167.0 ,Definitiv
1979-12-31 ,Z31121979 ,Kreis 3 (ab 1915)                                             ,R00600    ,46535.0 ,Definitiv
2021-12-31 ,Z31122021 ,Kreis 8 (ab 1915)                                             ,R01100    ,17818.0 ,Veröffentlicht
1965-12-31 ,Z31121965 ,Kreis 5 (ab 1915)                                             ,R00800    ,14447.0 ,Definitiv
1995-12-31 ,Z31121995 ,Kreis 4 (ab 1915)                                             ,R00700    ,27829.0 ,Definitiv
1914-12-31 ,Z31121914 ,Kreis 4 (ab 1915)                                             ,R00700    ,34821.0 ,Definitiv
2001-12-31 ,Z31122001 ,Kreis 5 (ab 1915)                                             ,R00800    ,11968.0 ,Definitiv
2003-12-31 ,Z31122003 ,Kreis 9 (ab 1934)                                             ,R01400    ,45341.0 ,Definitiv
1959-12-31 ,Z31121959 ,Kreis 2 (ab 1893)                                             ,R00200    ,36892.0 ,Definitiv
1911-12-31 ,Z31121911 ,alter Kreis 6 (1915-1933); alter Kreis IV (1893-1914)         ,R00400    ,29853.0 ,Definitiv
1953-12-31 ,Z31121953 ,Kreis 4 (ab 1915)                                             ,R00700    ,40914.0 ,Definitiv
1966-12-31 ,Z31121966 ,Kreis 10 (ab 1934)                                            ,R01500    ,37768.0 ,Definitiv
2013-12-31 ,Z31122013 ,Kreis 6 (ab 1934)                                             ,R01200    ,32328.0 ,Definitiv
1960-12-31 ,Z31121960 ,Kreis 9 (ab 1934)                                             ,R01400    ,43140.0 ,Definitiv
1979-12-31 ,Z31121979 ,Kreis 5 (ab 1915)                                             ,R00800    ,10484.0 ,Definitiv
1927-12-31 ,Z31121927 ,Kreis 8 (ab 1915)                                             ,R01100    ,21817.0 ,Definitiv
1906-12-31 ,Z31121906 ,Kreis 1 (Stadtgebiet vor 1893)                                ,R10000    ,25153.0 ,Definitiv
1991-12-31 ,Z31121991 ,Kreis 4 (ab 1915)                                             ,R00700    ,28339.0 ,Definitiv
1967-12-31 ,Z31121967 ,Kreis 6 (ab 1934)                                             ,R01200    ,41708.0 ,Definitiv
1949-12-31 ,Z31121949 ,Kreis 1 (Stadtgebiet vor 1893)                                ,R10000    ,18746.0 ,Definitiv
1912-12-31 ,Z31121912 ,alter Kreis 6 (1915-1933); alter Kreis IV (1893-1914)         ,R00400    ,31801.0 ,Definitiv
1944-12-31 ,Z31121944 ,alter Kreis 11 (1934-1969)                                    ,R01600    ,33772.0 ,Definitiv
1997-12-31 ,Z31121997 ,Kreis 4 (ab 1915)                                             ,R00700    ,27292.0 ,Definitiv
2021-12-31 ,Z31122021 ,Kreis 3 (ab 1915)                                             ,R00600    ,50104.0 ,Veröffentlicht
2015-12-31 ,Z31122015 ,Kreis 5 (ab 1915)                                             ,R00800    ,15065.0 ,Definitiv
2007-12-31 ,Z31122007 ,Kreis 11 (ab 1970)                                            ,R01800    ,63092.0 ,Definitiv
2015-12-31 ,Z31122015 ,Kreis 4 (ab 1915)                                             ,R00700    ,28701.0 ,Definitiv
1989-12-31 ,Z31121989 ,Kreis 10 (ab 1934)                                            ,R01500    ,34666.0 ,Definitiv
1989-12-31 ,Z31121989 ,Kreis 5 (ab 1915)                                             ,R00800    ,11208.0 ,Definitiv
1970-12-31 ,Z31121970 ,Kreis 3 (ab 1915)                                             ,R00600    ,53913.0 ,Definitiv
1959-12-31 ,Z31121959 ,Kreis 3 (ab 1915)                                             ,R00600    ,55378.0 ,Definitiv
1993-12-31 ,Z31121993 ,Kreis 5 (ab 1915)                                             ,R00800    ,11495.0 ,Definitiv
1982-12-31 ,Z31121982 ,Kreis 2 (ab 1893)                                             ,R00200    ,30488.0 ,Definitiv
1987-12-31 ,Z31121987 ,Kreis 11 (ab 1970)                                            ,R01800    ,52128.0 ,Definitiv
1940-12-31 ,Z31121940 ,Kreis 9 (ab 1934)                                             ,R01400    ,19362.0 ,Definitiv
1936-12-31 ,Z31121936 ,Kreis 1 (Stadtgebiet vor 1893)                                ,R10000    ,20884.0 ,Definitiv
2017-12-31 ,Z31122017 ,Kreis 7 (ab 1934)                                             ,R01300    ,37458.0 ,Definitiv
1940-12-31 ,Z31121940 ,Kreis 8 (ab 1915)                                             ,R01100    ,24216.0 ,Definitiv
2012-12-31 ,Z31122012 ,Kreis 7 (ab 1934)                                             ,R01300    ,35603.0 ,Definitiv
1967-12-31 ,Z31121967 ,Kreis 1 (Stadtgebiet vor 1893)                                ,R10000    ,12294.0 ,Definitiv
1995-12-31 ,Z31121995 ,Kreis 5 (ab 1915)                                             ,R00800    ,11460.0 ,Definitiv
2016-12-31 ,Z31122016 ,Kreis 5 (ab 1915)                                             ,R00800    ,15423.0 ,Definitiv
1991-12-31 ,Z31121991 ,Kreis 3 (ab 1915)                                             ,R00600    ,45542.0 ,Definitiv
1984-12-31 ,Z31121984 ,Kreis 4 (ab 1915)                                             ,R00700    ,27665.0 ,Definitiv
1965-12-31 ,Z31121965 ,Kreis 1 (Stadtgebiet vor 1893)                                ,R10000    ,13056.0 ,Definitiv
